,HCPCS_CODE,CLNDR_HCPCS_YR_NUM,LONG_DESCRIPTION,SHORT_DESCRIPTION,PRICE1,PRICE2,PRICE3,PRICE4,MULT_PI,CIM1,CIM2,CIM3,MCM1,MCM2,MCM3,STATUTE,LABCERT1,LABCERT2,LABCERT3,LABCERT4,LABCERT5,LABCERT6,LABCERT7,LABCERT8,XREF1,XREF2,XREF3,XREF4,XREF5,COV,ASC_GRP,ASC_DT,OPPS,OPPS_PI,OPPS_DT,PROCNOTE,BETOS,TOS1,TOS2,TOS3,TOS4,TOS5,ANEST_BU,ADD_DT,ACT_EFF_DT,TERM_DT,ACTION_CD
3366,G9480,2020,Admission to medicare care choice model program (mccm),Admission to mccm,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,M5D,1,,,,,,2016-01-01,2016-01-01,nan--,N
3367,G9481,2020,"Remote in-home visit for the evaluation and management of a new patient for use only in a medicare-approved cms innovation center demonstration project, which requires these 3 key components: a problem focused history;  a problem focused examination; and straightforward medical decision making, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both. usually, the presenting problem(s) are self limited or minor.  typically, 10 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m new pt 10mins,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,206.0,Z2,1,,,,,,2016-04-01,2018-01-01,nan--,N
3368,G9482,2020,"Remote in-home visit for the evaluation and management of a new patient for use only in a medicare-approved cms innovation center demonstration project, which requires these 3 key components: an expanded problem focused history; an expanded problem focused examination;  straightforward medical decision making, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are of low to moderate severity.  typically, 20 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m new pt 20mins,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,206.0,Z2,1,,,,,,2016-04-01,2018-01-01,nan--,N
3369,G9483,2020,"Remote in-home visit for the evaluation and management of a new patient for use only in a medicare-approved cms innovation center demonstration project, which requires these 3 key components: a detailed history; a detailed examination; medical decision making of low complexity, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are of moderate severity.  typically, 30 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m new pt 30mins,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,206.0,Z2,1,,,,,,2016-04-01,2018-01-01,nan--,N
3370,G9484,2020,"Remote in-home visit for the evaluation and management of a new patient for use only in a medicare-approved cms innovation center demonstration project, which requires these 3 key components: a comprehensive history; a comprehensive examination; medical decision making of moderate complexity, furnished in real time using interactive audio and video technology. counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are of moderate to high severity.  typically, 45 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m new pt 45mins,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,206.0,Z2,1,,,,,,2016-04-01,2018-01-01,nan--,N
3371,G9485,2020,"Remote in-home visit for the evaluation and management of a new patient for use only in a medicare-approved cms innovation center demonstration project, which requires these 3 key components: a comprehensive history; a comprehensive examination; medical decision making of high complexity, furnished in real time using interactive audio and video technology. counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are of moderate to high severity.  typically, 60 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m new pt 60mins,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,206.0,Z2,1,,,,,,2016-04-01,2018-01-01,nan--,N
3372,G9486,2020,"Remote in-home visit for the evaluation and management of an established patient for use only in a medicare-approved cms innovation center demonstration project, which requires at least 2 of the following 3 key components: a problem focused history; a problem focused examination; straightforward medical decision making, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are self limited or minor.  typically, 10 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m est. pt 10mins,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,206.0,Z2,1,,,,,,2016-04-01,2018-01-01,nan--,N
3373,G9487,2020,"Remote in-home visit for the evaluation and management of an established patient for use only in a medicare-approved cms innovation center demonstration project, which requires at least 2 of the following 3 key components: an expanded problem focused history; an expanded problem focused examination; medical decision making of low complexity, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are of low to moderate severity.  typically, 15 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m est. pt 15mins,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,206.0,Z2,1,,,,,,2016-04-01,2018-01-01,nan--,N
3374,G9488,2020,"Remote in-home visit for the evaluation and management of an established patient for use only in a medicare-approved cms innovation center demonstration project, which requires at least 2 of the following 3 key components: a detailed history; a detailed examination; medical decision making of moderate complexity, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are of moderate to high severity.  typically, 25 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m est. pt 25mins,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,206.0,Z2,1,,,,,,2016-04-01,2018-01-01,nan--,N
3375,G9489,2020,"Remote in-home visit for the evaluation and management of an established patient for use only in a medicare-approved coms innovation center demonstration project, which requires at least 2 of the following 3 key components: a comprehensive history; a comprehensive examination; medical decision making of high complexity, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are of moderate to high severity.  typically, 40 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m est. pt 40mins,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,206.0,Z2,1,,,,,,2016-04-01,2018-01-01,nan--,N
3376,G9490,2020,"Cms innovation center models, home visit for patient assessment performed by clinical staff for an individual not considered homebound, including, but not necessarily limited to patient assessment of clinical status, safety/fall prevention, functional status/ambulation, medication reconciliation/management, compliance with orders/plan of care, performance of activities of daily living, and ensuring beneficiary connections to community and other services.  (for use only in medicare-approved cms innovation center models); may not be billed for a 30 day period covered by a transitional care management code",Cmmi mod home visit,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,206.0,Z2,1,,,,,,2016-04-01,2018-01-01,nan--,N
3377,G9496,2020,"Documentation of reason for not detecting adenoma(s) or other neoplasm. (e.g., neoplasm detected is only diagnosed as traditional serrated adenoma, sessile serrated polyp, or sessile serrated adenoma",Doc rsn no adeno/neopl detec,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2018-01-01,2017-12-31,N
3378,G9497,2020,Received instruction from the anesthesiologist or proxy prior to the day of surgery to abstain from smoking on the day of surgery,Rec inst no smoke day surg,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2017-01-01,nan--,N
3379,G9498,2020,Antibiotic regimen prescribed,Abx reg prescribed,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3380,G9499,2020,Patient did not start or is not receiving antiviral treatment for hepatitis c during the measurement period,No start/rec antvir tx hep c,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2017-01-01,2016-12-31,N
3381,G9500,2020,"Radiation exposure indices, or exposure time and number of fluorographic images in final report for procedures using fluoroscopy, documented",Rad expos ind/exp tm doc,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2017-01-01,nan--,N
3382,G9501,2020,"Radiation exposure indices, or exposure time and number of fluorographic images not documented in final report for procedure using fluoroscopy, reason not given",Rad expos ind/exp tm no doc,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2017-01-01,nan--,N
3383,G9502,2020,"Documentation of medical reason for not performing foot exam (i.e., patients who have had either a bilateral amputation above or below the knee, or both a left and right amputation above or below the knee before or during the measurement period)",Med reas no perf foot exam,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3384,G9503,2020,Patient taking tamsulosin hydrochloride,Pt tk tams hcl,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3385,G9504,2020,"Documented reason for not assessing hepatitis b virus (hbv) status (e.g., patient not initiating anti-tnf therapy, patient declined) prior to initiating anti-tnf therapy",Doc rsn hep b stat not asses,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2018-01-01,nan--,N
3386,G9505,2020,Antibiotic regimen prescribed within 10 days after onset of symptoms for documented medical reason,Abx pres w/in 10 dys of symp,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3387,G9506,2020,Biologic immune response modifier prescribed,Bio imm resp mod presc,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3388,G9507,2020,"Documentation that the patient is on a statin medication or has documentation of a valid contraindication or exception to statin medications; contraindications/exceptions that can be defined by diagnosis codes include pregnancy during the measurement period, active liver disease, rhabdomyolysis, end stage renal disease on dialysis and heart failure; provider documented contraindications/exceptions include breastfeeding during the measurement period, woman of child-bearing age not actively taking birth control, allergy to statin, drug interaction (hiv protease inhibitors, nefazodone, cyclosporine, gemfibrozil, and danazol) and intolerance (with supporting documentation of trying a statin at least once within the last 5 years or diagnosis codes for myostitis or toxic myopathy related to drugs)",Doc reas on statin or contra,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3389,G9508,2020,Documentation that the patient is not on a statin medication,Doc pt not on statin,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3390,G9509,2020,Adult patients 18 years of age or older with major depression or dysthymia who reached remission at twelve months as demonstrated by a twelve month (+/-60 days) phq-9 or phq-9m score of less than 5,Adit mdd dys rem 12 mnths,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2019-01-01,nan--,N
3391,G9510,2020,Adult patients 18 years of age or older with major depression or dysthymia who did not reach remission at twelve months as demonstrated by a twelve  month (+/-60 days) phq-9 or phq-9m score of less than 5. either phq- 9 or phq-9m score was not assessed or is greater than or equal to 5,Remis12m not phq-9 score <5,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2020-01-01,nan--,N
3392,G9511,2020,Index event date phq-9 or phq-9m score greater than 9 documented during the twelve month denominator identification period,Idx evt dte phq>9 doc 12 mo,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2019-01-01,nan--,N
3393,G9512,2020,Individual had a pdc of 0.8 or greater,Indiv pdc > 0.8,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3394,G9513,2020,Individual did not have a pdc of 0.8 or greater,Indiv pdc not > 0.8,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3395,G9514,2020,Patient required a return to the operating room within 90 days of surgery,Req ret or w/in 90d of surg,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3396,G9515,2020,Patient did not require a return to the operating room within 90 days of surgery,"No reas, no ret or w/in 90d",,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3397,G9516,2020,"Patient achieved an improvement in visual acuity, from their preoperative level, within 90 days of surgery",Impr vis acuit w/in 90d,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3398,G9517,2020,"Patient did not achieve an improvement in visual acuity, from their preoperative level, within 90 days of surgery, reason not given",No impr vis acuit w/in 90d,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3399,G9518,2020,Documentation of active injection drug use,Doc active inj drug use,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3400,G9519,2020,Patient achieves final refraction (spherical equivalent) +/- 1.0 diopters of their planned refraction within 90 days of surgery,Final ref +/- 1.0 w/in 90d,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2020-01-01,nan--,N
3401,G9520,2020,Patient does not achieve final refraction (spherical equivalent) +/- 1.0 diopters of their planned refraction within 90 days of surgery,Refract not +/- 1.0 w/in 90d,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2020-01-01,nan--,N
3402,G9521,2020,Total number of emergency department visits and inpatient hospitalizations less than two in the past 12 months,Er and ip hosp <2 in 12 mos,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3403,G9522,2020,"Total number of emergency department visits and inpatient hospitalizations equal to or greater than two in the past 12 months or patient not screened, reason not given",Er/ip hosp =/>2 in 12 mos,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3404,G9523,2020,Patient discontinued from hemodialysis or peritoneal dialysis,D/c hemo or perit dialysis,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3405,G9524,2020,Patient was referred to hospice care,Refer to hospice,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3406,G9525,2020,"Documentation of patient reason(s) for not referring to hospice care (e.g., patient declined, other patient reasons)",Doc pt reas no hospice refer,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3407,G9526,2020,"Patient was not referred to hospice care, reason not given","No reason, no refer hospice",,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3408,G9529,2020,Patient with minor blunt head trauma had an appropriate indication(s) for a head ct,Minor blunt trauma w/head ct,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3409,G9530,2020,Patient presented with a minor blunt head trauma  and had a head ct ordered for trauma by an emergency care provider,Pt mbht hd ct ord ec prov,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2019-01-01,nan--,N
3410,G9531,2020,"Patient has documentation of ventricular shunt, brain tumor, multisystem trauma, or is currently taking an antiplatelet medication including: abciximab, anagrelide, cangrelor, cilostazol, clopidogrel, dipyridamole, eptifibatide, prasugrel, ticlopidine, ticagrelor, tirofiban, or vorapaxar",Pt doc,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2020-01-01,nan--,N
3411,G9532,2020,Patient had a head ct for trauma ordered by someone other than an emergency care provider  or was ordered for a reason other than trauma,Pt hd ct ord,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2019-01-01,nan--,N
3412,G9533,2020,Patient with minor blunt head trauma did not have an appropriate indication(s) for a head ct,Indic for head ct not valid,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3413,G9534,2020,"Advanced brain imaging (cta, ct, mra or mri) was not ordered",Adv brain image not ordered,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2019-01-01,2018-12-31,N
3414,G9535,2020,Patients with a normal neurological examination,Normal neuro exam,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2019-01-01,2018-12-31,N
3415,G9536,2020,"Documentation of medical reason(s) for ordering an advanced brain imaging study (i.e., patient has an abnormal neurological examination; patient has the coexistence of seizures, or both; recent onset of severe headache; change in the type of headache; signs of increased intracranial pressure (e.g., papilledema, absent venous pulsations on funduscopic examination, altered mental status, focal neurologic deficits, signs of meningeal irritation); hiv-positive patients with a new type of headache; immunocompromised patient with unexplained headache symptoms; patient on coagulopathy/anti-coagulation or anti-platelet therapy; very young patients with unexplained headache symptoms)",Doc med reas adv brain image,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2019-01-01,2018-12-31,N
3416,G9537,2020,"Documentation of system reason(s) for obtaining imaging of the head (ct or mri) (i.e., needed as part of a clinical trial; other clinician ordered the study)",Doc sysm rsn img hd,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2019-01-01,nan--,N
3417,G9538,2020,"Advanced brain imaging (cta, ct, mra or mri) was ordered",Adv brain image ordered,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2019-01-01,2018-12-31,N
3418,G9539,2020,Intent for potential removal at time of placement,Intent pot remv time placemt,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3419,G9540,2020,Patient alive 3 months post procedure,Pt alive 3 mos post proc,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3420,G9541,2020,Filter removed within 3 months of placement,Filter rem 3 mon plmt,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2018-01-01,nan--,N
3421,G9542,2020,Documented re-assessment for the appropriateness of filter removal within 3 months of placement,Doc reass appr remo filt 3ms,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3422,G9543,2020,Documentation of at least two attempts to reach the patient to arrange a clinical re-assessment for the appropriateness of filter removal within 3 months of placement,Doc 2x re-assess filt remov,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3423,G9544,2020,"Patients that do not have the filter removed, documented re-assessment for the appropriateness of filter removal, or documentation of at least two attempts to reach the patient to arrange a clinical re-assessment for the appropriateness of filter removal within 3 months of placement",No filt remov w/in 3mos plcm,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3424,G9547,2020,"Cystic renal lesion that is simple appearing (bosniak i or ii) , or adrenal lesion  less than or equal to 1.0 cm or adrenal lesion greater than 1.0 cm but less than or equal to 4.0 cm classified as likely benign by unenhanced ct or washout protocol ct, or mri with in- and opposed-phase sequences or other equivalent institutional imaging protocols",Cys ren les or adren,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2020-01-01,nan--,N
3425,G9548,2020,Final reports for imaging studies stating no  follow-up imaging is recommended,No f/u rec image study,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2020-01-01,nan--,N
3426,G9549,2020,"Documentation of medical reason(s) that follow-up imaging is indicated (e.g., patient has lymphadenopathy, signs of metastasis or an active diagnosis or history of cancer, and other medical reason(s))",Doc med rsn for f/u imag,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2020-01-01,nan--,N
3427,G9550,2020,Final reports for imaging studies with follow-up imaging recommended,Imag rec,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2020-01-01,nan--,N
3428,G9551,2020,Final reports for imaging studies without an incidentally found lesion noted,Imag no les,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2020-01-01,nan--,N
3429,G9552,2020,Incidental thyroid nodule < 1.0 cm noted in report,Inc thyr node <1.0 in rpt,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3430,G9553,2020,Prior thyroid disease diagnosis,Prior thyroid dise dx,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3431,G9554,2020,"Final reports for ct, cta, mri or mra of the chest or neck or ultrasound of the neck with follow-up imaging recommended",Ct/cta/mri/a chst foll rec,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2017-01-01,nan--,N
3432,G9555,2020,"Documentation of medical reason(s) for recommending follow up imaging (e.g., patient has multiple endocrine neoplasia, patient has cervical lymphadenopathy, other medical reason(s))",Doc med rsn for follup image,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2017-01-01,nan--,N
3433,G9556,2020,"Final reports for ct, cta, mri or mra of the chest or neck or ultrasound of the neck with follow-up imaging not recommended",Ct/cta/mri/a no follup imag,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2017-01-01,nan--,N
3434,G9557,2020,"Final reports for ct, cta, mri or mra studies of the chest or neck or ultrasound of the neck without an incidentally found thyroid nodule < 1.0 cm noted or no nodule found",Ct/cta/mri/a no thyr <1.0cm,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2017-01-01,nan--,N
3435,G9558,2020,Patient treated with a beta-lactam antibiotic as definitive therapy,Tx beta-lactam abx therapy,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3436,G9559,2020,"Documentation of medical reason(s) for not prescribing a beta-lactam antibiotic (e.g., allergy, intolerance to beta-lactam antibiotics)",Doc med reas no abx therapy,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3437,G9560,2020,"Patient not treated with a beta-lactam antibiotic as definitive therapy, reason not given","No beta-lactam abx ther, rng",,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3438,G9561,2020,Patients prescribed opiates for longer than six weeks,Presc opiates >6 wks,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3439,G9562,2020,Patients who had a follow-up evaluation conducted at least every three months during opioid therapy,Foll-up eval q3mo opiod tx,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3440,G9563,2020,Patients who did not have a follow-up evaluation conducted at least every three months during opioid therapy,No f/u eval q3mo opiod tx,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3441,G9572,2020,Index date phq-score greater than 9 documented during the twelve month denominator identification period,Phq-scr >9 doc in 12m time,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2017-01-01,2016-12-31,N
3442,G9573,2020,Adult patients 18 years of age or older with major depression or dysthymia who did not reach remission at six months as demonstrated by a six month (+/-60 days) phq-9 or phq-9m score of less than five,Adl pt md or dys rem 6 mon,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2019-01-01,nan--,N
3443,G9574,2020,Adult patients 18 years of age or older with major depression or dysthymia who did not reach remission at six months as demonstrated by a six month (+/-60 days) phq-9 or phq-9m score of less than five; either phq-9 or phq-9m score was not assessed or is greater than or equal to five,Adl pt md dys no rem 6 mon,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2019-01-01,nan--,N
3444,G9577,2020,Patients prescribed opiates for longer than six weeks,Presc opiates >6 wks,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3445,G9578,2020,Documentation of signed opioid treatment agreement at least once during opioid therapy,Doc opioid tx 1x during ther,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3446,G9579,2020,No documentation of signed an opioid treatment agreement at least once during opioid therapy,No doc opioid tx 1x at ther,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3447,G9580,2020,Door to puncture time of less than 2 hours,Door to punc time <2hrs,,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
3448,G9581,2020,"Door to puncture time of greater than 2 hours for reasons documented by clinician (e.g., patients who are transferred from one institution to another with a known diagnosis of cva for endovascular stroke treatment; hospitalized patients with newly diagnosed cva considered for endovascular stroke treatment)","Md doc, door to punc tm >2hr",,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2017-01-01,2016-12-31,N
3449,G9582,2020,"Door to puncture time of greater than 2 hours, no reason given","Door to punc time >2hr, nrg",,,,,9,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,Z2,1,,,,,,2016-01-01,2016-01-01,nan--,N
